VENUE,CATEGORY,TOP_LEVEL_CATEGORY,NEIGHBORHOOD,NEIGHBORHOOD_LAT,NEIGHBORHOOD_LNG
5,Oddfellows East Hall,Dance Studio,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
6,SCCC Fine Arts Building,College Arts Building,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
7,Century Ballroom,Dance Studio,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
8,SIFF Cinema Egyptian,Movie Theater,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
9,Puzzle Break Seattle,General Entertainment,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
10,Egyptian Theatre,Movie Theater,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
11,Seattle Museum Of Mystery,Museum,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
12,Capitol Hill Art Walk,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
13,Freehold Theatre,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
14,fetherston gallery,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
15,E.T.  studio,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
16,Blue Cone Studio,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
17,Apex Aerial Arts,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
18,Vermillion Gallery & Bar,Wine Bar,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
19,Elvis Presley Statue,Outdoor Sculpture,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
20,Buddy Holly Statue - Broadway Bldg,Outdoor Sculpture,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
21,Three Wings | Queer Youth Space,General Entertainment,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
22,C89.5 LAP @ Neighbours,Music Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
23,Warehouse at 714 Pike,General Entertainment,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
24,Sherlocked,General Entertainment,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
25,Wind Cradle by Ali Boudoin,Sculpture Garden,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
26,DivaHQ,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
27,The Cockpit,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
28,The Stranger,Performing Arts Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
29,Dickies Yard,Music Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
30,Broadway Gallery,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
31,CES Studio,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
32,Project: Space Available,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
33,Blak Designmart,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
34,V2,Dance Studio,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
35,onn/of,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
36,Cock Pit,Music Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
37,Balagan Theatre,Indie Theater,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
38,The Sign Show,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
39,Local 1520,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
40,Stanley Piano,General Entertainment,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
41,new tomorrow,Music Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
42,Chuck Berry Statue,Outdoor Sculpture,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
43,CHP Art Room,Art Gallery,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
44,Barboza,Music Venue,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
